Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
Rindal Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Etnedal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Sparebanken Vest,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Lillesands Sparebank,Fritidslån 65%,7.75,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,65.0
Birkenes Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 SMN,Billån mellom 65 % og 80 % finansiering,7.7,2990.0,0.0,95.0,50000.0,1000000000.0,18,100,10,80.0
Oppdalsbanken,Eika MC/ATV over 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,65.0
Voss Sparebank,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Agder Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
Rogaland Sparebank,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 SMN,Billån inntil 65 % finansiering,6.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Sparebanken Narvik,Grønt Billån 20%-35% Egenkapital,7.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Sunndal Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Haugesund Sparebank,Fritidslån 65%,7.75,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,65.0
