Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
SpareBank 1 Nord-Nor...,5.65,4000.0,75.0,1300.0,45.0,30,18,33
Askim og Spydeberg S...,4.75,0.0,50.0,0.0,85.0,10,18,100
SpareBank 1 Østfold ...,6.34,3000.0,60.0,0.0,90.0,30,34,100
SpareBank 1 Østlande...,5.74,2300.0,60.0,1000.0,90.0,25,18,33
Skagerrak Sparebank,5.14,2000.0,60.0,1000.0,75.0,25,18,33
SpareBank 1 Nord-Nor...,5.7,1950.0,75.0,1300.0,60.0,30,18,100
SpareBank 1 Østfold ...,5.59,3000.0,60.0,0.0,90.0,30,18,33
OBOS-banken AS,5.51,2800.0,50.0,0.0,60.0,100,18,100
Skagerrak Sparebank,5.09,2000.0,60.0,1000.0,75.0,25,18,100
SpareBank 1 Gudbrand...,5.0,1750.0,50.0,800.0,75.0,30,18,100
SpareBank 1 Østfold ...,5.74,3000.0,60.0,0.0,90.0,30,18,33
SpareBank 1 Østlande...,6.34,2300.0,60.0,1000.0,75.0,30,34,100
Skagerrak Sparebank,5.14,2000.0,60.0,1000.0,75.0,25,18,100
SpareBank 1 Gudbrand...,4.95,1750.0,50.0,800.0,75.0,30,18,100
SpareBank 1 Nord-Nor...,5.75,4000.0,65.0,1300.0,50.0,30,18,100
Sparebanken Narvik,5.49,2000.0,50.0,500.0,90.0,30,18,33
OBOS-banken AS,5.32,2800.0,35.0,0.0,90.0,30,18,100
SpareBank 1 Hallingd...,8.75,0,70.0,750.0,85.0,2,18,100
Skagerrak Sparebank,6.55,0,75.0,1000.0,60.0,30,18,100
OBOS-banken AS,5.21,2800.0,50.0,0.0,50.0,30,18,100
Skagerrak Sparebank,5.19,2000.0,60.0,1000.0,75.0,25,18,100
OBOS-banken AS,5.82,2800.0,35.0,0.0,90.0,30,18,100
Sparebanken Sør,7.5,2500.0,0.0,1000.0,85.0,1,18,100
Nidaros Sparebank,6.09,0,60.0,2000.0,90.0,30,18,100
OBOS-banken AS,5.14,2800.0,35.0,0,75.0,30,18,100
Romerike Sparebank,5.38,0.0,70.0,0.0,50.0,30,18,100
Skagerrak Sparebank,6.29,0,60.0,1000.0,85.0,30,18,100
JBF Bank og Forsikri...,7.8,4000.0,0.0,0,85.0,1,18,100
SpareBank 1 Hallingd...,5.7,0,70.0,750.0,50.0,30,18,100
OBOS-banken AS,5.37,2800.0,35.0,0.0,50.0,30,18,100
OBOS-banken AS,5.67,2800.0,35.0,0.0,90.0,30,18,100
Skagerrak Sparebank,5.49,0,60.0,1000.0,85.0,30,18,33
SpareBank 1 Hallingd...,6.0,0,70.0,750.0,85.0,30,18,100
SpareBank 1 Hallingd...,6.0,0,70.0,750.0,80.0,25,18,100
SpareBank 1 Sogn og ...,6.29,3500.0,70.0,0.0,60.0,30,18,100
OBOS-banken AS,5.52,2800.0,35.0,0,50.0,30,18,100
Kvinesdal Sparebank,6.1,2500.0,50.0,500.0,75.0,20,33,100
Sparebanken Øst,6.44,2990.0,75.0,1250.0,80.0,30,18,100
SpareBank 1 Østlande...,5.39,2200.0,60.0,1000.0,75.0,30,18,100
Sparebanken Øst,5.48,0.0,75.0,1250.0,80.0,30,18,100
SpareBank 1 Hallingd...,5.7,0,70.0,750.0,50.0,25,18,100
SpareBank 1 Hallingd...,5.6,0,70.0,750.0,85.0,30,18,100
INSTABANK ASA,8.1,0,50.0,0.0,90.0,30,23,100
SpareBank 1 Østlande...,5.39,2200.0,60.0,1000.0,75.0,30,18,100
SpareBank 1 Østlande...,5.44,2200.0,60.0,1000.0,75.0,15,18,100
